RELATE,SEX,AGE,MARST,RACE,CITIZEN,SPEAKENG,SCHOOL,EDUC,GRADEATT,SCHLTYPE,EMPSTAT,CLASSWKR,INCTOT,DISABWRK,household_id,individual_id
0,0,32,5,0,0,2,1,6,0,1,1,1,10,2,0,0
0,0,60,0,6,2,5,1,10,0,1,1,2,5,1,1,1
0,0,60,0,6,2,5,1,10,0,1,1,2,5,1,1,2
7,0,35,5,0,0,2,1,6,0,1,1,1,15,1,2,3
0,0,31,5,0,0,3,1,6,0,1,1,2,20,1,2,4
0,1,50,2,0,0,2,1,8,0,1,3,0,0,1,3,5
1,1,29,0,0,3,5,1,0,0,1,1,2,5,2,4,6
2,1,3,5,0,0,0,1,0,0,1,0,0,0,0,4,7
2,1,6,5,0,0,4,2,0,3,2,0,0,0,0,4,8
2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,4,9
1,1,30,0,0,3,5,1,0,0,1,3,0,5,2,4,10
0,0,72,0,7,0,2,1,9,0,1,3,2,33,1,5,11
1,1,66,0,8,0,2,1,9,0,1,3,2,26,1,5,12
0,1,32,5,0,3,3,1,6,0,1,1,2,6,1,6,13
7,0,24,1,6,0,2,1,6,0,1,3,2,4,1,7,14
0,0,32,5,0,0,2,1,7,0,1,1,2,8,1,8,15
7,0,36,1,0,0,5,1,2,0,1,1,2,10,2,9,16
0,0,72,0,0,0,2,1,6,0,1,3,0,21,1,10,17
1,1,70,0,0,0,2,1,6,0,1,3,0,7,1,10,18
0,0,31,5,0,0,2,1,6,0,1,1,1,11,2,11,19
7,1,85,4,0,0,2,1,6,0,1,3,0,0,2,12,20
1,1,23,0,6,0,3,1,6,0,1,1,2,9,1,13,21
0,0,24,0,6,3,3,1,6,0,1,1,2,3,1,13,22
2,0,5,5,5,0,5,2,1,2,2,0,0,0,0,14,23
0,1,27,5,5,2,4,1,6,0,1,3,0,0,1,14,24
2,0,1,5,5,0,0,0,0,0,0,0,0,0,0,14,25
0,1,78,4,0,0,2,1,7,0,1,1,1,6,1,15,26
2,0,13,5,0,0,2,2,2,4,2,0,0,0,0,16,27
0,0,48,0,0,0,2,1,10,0,1,1,1,99,1,16,28
1,1,49,0,0,0,2,1,9,0,1,3,1,4,1,16,29
1,1,47,0,0,0,2,1,5,0,1,2,2,9,1,17,30
1,0,38,0,0,0,3,2,6,6,2,1,2,7,1,17,31
7,1,38,2,6,0,3,1,6,0,1,3,2,12,1,18,32
2,1,12,5,6,0,3,2,2,4,2,0,0,0,0,18,33
0,1,32,5,0,0,2,1,6,0,1,1,2,17,1,18,34
0,1,54,0,0,0,3,1,9,0,1,3,2,30,1,19,35
1,1,57,0,0,2,3,1,7,0,1,1,2,12,2,19,36
2,0,13,5,6,3,4,2,2,4,2,0,0,0,0,20,37
2,0,13,5,6,3,4,2,2,4,2,0,0,0,0,20,38
