user_id,session_id,action,action_type,action_detail,device_type,secs_elapsed
0,24235,154.0,2.0,99.0,6.0,4180.0
0,24236,74.0,3.0,34.0,6.0,554.0
0,24237,31.0,6.0,20.0,6.0,901.0
0,24238,118.0,3.0,101.0,6.0,1162.0
0,24239,158.0,7.0,57.0,6.0,1673.0
0,24240,158.0,7.0,57.0,6.0,11048.0
0,24241,158.0,7.0,57.0,6.0,978.0
0,24242,165.0,3.0,78.0,6.0,45.0
0,24243,23.0,2.0,17.0,6.0,1267.0
0,24244,158.0,7.0,57.0,6.0,734.0
1,4263,118.0,3.0,101.0,8.0,45.0
1,4264,158.0,7.0,57.0,8.0,1011.0
1,4265,23.0,2.0,17.0,8.0,300.0
1,4266,107.0,0.0,0.0,8.0,71.0
1,4267,23.0,2.0,17.0,8.0,896.0
1,4268,118.0,3.0,101.0,8.0,1148.0
1,4269,154.0,2.0,99.0,8.0,5998.0
1,4270,154.0,2.0,99.0,8.0,6917.0
1,4271,154.0,2.0,99.0,8.0,87.0
1,4272,154.0,2.0,99.0,8.0,637.0
2,24235,154.0,2.0,99.0,8.0,4080.0
2,24236,74.0,3.0,34.0,8.0,554.0
2,24237,23.0,2.0,17.0,8.0,301.0
2,24238,158.0,7.0,57.0,8.0,1147.0
2,24239,154.0,2.0,99.0,8.0,1547.0
2,24240,118.0,3.0,101.0,8.0,1047.0
2,24241,158.0,7.0,57.0,8.0,939.0
2,24242,154.0,2.0,99.0,8.0,6925.0
2,24243,81.0,7.0,99.0,8.0,245.0
2,24244,154.0,2.0,99.0,8.0,301.0
3,24235,154.0,2.0,99.0,8.0,4580.0
3,24236,74.0,3.0,34.0,8.0,556.0
3,24237,56.0,7.0,26.0,8.0,991.0
3,24238,118.0,3.0,101.0,8.0,1137.0
3,24239,158.0,7.0,57.0,8.0,1043.0
3,24240,158.0,7.0,57.0,8.0,9047.0
3,24241,158.0,7.0,57.0,8.0,239.0
3,24242,154.0,2.0,99.0,8.0,6925.0
3,24243,81.0,7.0,99.0,8.0,22268.0
3,24244,154.0,2.0,99.0,8.0,764.0
4,4313,158.0,7.0,57.0,8.0,1666.0
4,4314,118.0,3.0,101.0,8.0,1603.0
4,4315,81.0,7.0,99.0,8.0,6150.0
4,4316,118.0,3.0,101.0,8.0,1060.0
4,4317,23.0,2.0,17.0,8.0,1067.0
4,4318,23.0,2.0,17.0,8.0,1134.0
4,4319,158.0,7.0,57.0,8.0,857.0
4,4320,154.0,2.0,99.0,8.0,4407.0
4,4321,154.0,2.0,99.0,8.0,4997.0
4,4322,105.0,0.0,0.0,8.0,47.0
5,24235,183.0,6.0,85.0,8.0,28311.0
5,24236,158.0,7.0,57.0,8.0,1566.0
5,24237,81.0,7.0,50.0,8.0,997.0
5,24238,118.0,3.0,101.0,8.0,1077.0
5,24239,158.0,7.0,57.0,8.0,1043.0
5,24240,23.0,2.0,17.0,8.0,4.0
5,24241,158.0,7.0,57.0,8.0,210.0
5,24242,158.0,7.0,57.0,8.0,1925.0
5,24243,81.0,7.0,99.0,8.0,267.0
5,24244,158.0,7.0,57.0,8.0,736.0
6,4363,118.0,3.0,101.0,8.0,40.0
6,4364,158.0,7.0,57.0,8.0,1603.0
6,4365,23.0,2.0,17.0,8.0,5561.0
6,4366,118.0,3.0,101.0,8.0,1063.0
6,4367,23.0,2.0,17.0,8.0,1517.0
6,4368,23.0,2.0,17.0,8.0,1134.0
6,4369,158.0,7.0,57.0,8.0,378.0
6,4370,154.0,2.0,99.0,8.0,4925.0
