RELATE,SEX,AGE,MARST,RACE,CITIZEN,SPEAKENG,SCHOOL,EDUC,GRADEATT,SCHLTYPE,EMPSTAT,CLASSWKR,INCTOT,DISABWRK,household_id,individual_id
0,1,77,3,0,0,2,1,4,0,1,3,0,4,2,0,0
0,0,51,0,0,0,2,1,10,0,1,1,2,43,1,1,1
1,1,45,0,0,0,2,1,9,0,1,1,2,22,1,1,2
1,1,77,0,0,0,2,1,2,0,1,3,0,1,1,2,3
0,0,78,0,0,0,2,1,2,0,1,3,0,3,1,2,4
0,1,63,4,0,0,2,1,6,0,1,3,2,20,1,3,5
7,0,34,5,0,3,1,1,6,0,1,1,2,0,1,4,6
6,0,34,1,0,0,2,1,8,0,1,3,2,5,1,4,7
7,0,33,5,0,3,5,1,6,0,1,1,2,7,1,4,8
7,0,32,5,0,3,5,1,6,0,1,1,2,12,1,4,9
0,1,34,5,0,3,1,1,6,0,1,1,2,7,1,4,10
0,0,57,0,0,0,2,1,9,0,1,1,2,26,1,5,11
1,1,58,0,0,0,2,1,10,0,1,1,2,27,1,5,12
7,0,34,1,0,0,2,1,6,0,1,3,2,3,1,6,13
0,0,85,4,0,0,2,1,7,0,1,3,0,14,1,7,14
0,1,35,3,0,0,2,1,9,0,1,1,2,17,1,8,15
0,0,21,5,6,0,2,1,5,0,1,2,1,3,2,9,16
1,1,59,0,0,0,2,1,6,0,1,3,0,17,1,10,17
0,0,67,0,0,0,2,1,7,0,1,3,0,7,1,10,18
0,1,57,0,0,0,2,1,6,0,1,3,2,6,1,11,19
7,1,18,5,1,0,2,2,5,5,2,3,2,0,2,12,20
1,1,55,0,0,2,3,1,7,0,1,1,2,11,1,13,21
0,0,54,0,0,0,3,1,9,0,1,1,2,38,1,13,22
7,1,43,1,1,0,2,1,6,0,1,1,2,13,1,14,23
0,1,44,3,0,0,2,1,7,0,1,1,2,20,2,14,24
5,0,12,5,8,0,2,2,1,5,3,0,0,0,0,14,25
0,1,81,4,0,0,2,1,7,0,1,3,0,17,1,15,26
4,0,39,1,7,0,2,1,4,0,1,2,2,3,1,16,27
0,0,37,3,0,0,2,1,8,0,1,1,2,18,1,16,28
4,0,33,5,5,2,2,1,7,0,1,1,2,21,1,16,29
1,1,68,0,8,0,2,1,7,0,1,3,2,27,1,17,30
0,1,85,0,0,0,2,1,6,0,1,3,0,61,2,17,31
0,0,49,0,0,0,2,1,9,0,1,1,1,39,1,18,32
2,0,13,5,0,0,2,2,2,4,2,0,0,0,0,18,33
1,1,49,0,0,0,2,1,9,0,1,1,1,10,1,18,34
7,1,34,5,3,0,2,1,6,0,1,1,2,2,1,19,35
2,1,41,5,0,0,2,1,6,0,1,1,2,28,1,19,36
7,0,39,5,6,2,2,1,0,0,1,3,1,5,2,20,37
1,1,37,0,6,0,3,2,8,0,1,3,0,0,1,20,38
2,0,11,5,6,0,3,2,2,4,2,0,0,0,0,20,39
2,1,5,5,5,3,0,1,0,0,1,0,0,0,0,20,40
2,1,0,5,5,0,0,0,0,0,0,0,0,0,0,21,41
0,1,28,0,0,3,5,1,1,0,1,1,2,0,1,21,42
5,0,25,5,0,2,2,1,6,0,1,1,2,13,1,21,43
2,0,5,5,0,0,0,1,0,0,1,0,0,0,0,21,44
0,0,71,0,0,0,2,1,7,0,1,3,0,12,1,22,45
1,1,73,0,0,0,2,1,6,0,1,3,2,10,1,22,46
0,0,38,0,6,2,4,1,6,0,1,1,2,17,1,23,47
2,1,17,5,6,0,3,2,3,5,2,3,0,0,1,23,48
1,1,38,0,0,0,3,1,6,0,1,1,2,8,1,23,49
2,1,5,5,6,0,3,2,1,2,2,0,0,0,0,23,50
0,1,38,5,4,0,2,1,9,0,1,1,2,27,1,24,51
1,0,25,0,0,0,2,2,7,6,2,1,2,15,1,25,52
2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,25,53
0,0,27,0,0,0,2,1,6,0,1,1,2,14,1,25,54
0,1,44,3,0,2,3,1,9,0,1,1,2,30,1,26,55
2,0,9,5,0,0,2,2,2,3,2,0,0,0,0,26,56
0,1,36,2,0,3,5,1,6,0,1,2,2,0,2,27,57
2,0,3,5,0,0,0,2,2,1,2,0,0,0,0,27,58
3,1,69,4,0,0,2,1,6,0,1,3,0,8,1,28,59
0,0,47,3,0,0,2,1,6,0,1,1,1,25,1,28,60
0,1,54,0,6,2,1,1,1,0,1,3,2,6,1,29,61
1,0,63,0,6,2,1,1,0,0,1,1,2,7,1,29,62
0,0,60,0,0,0,2,1,3,0,1,3,2,13,1,30,63
1,1,41,0,0,0,2,1,6,0,1,1,2,7,1,30,64
1,1,36,0,0,0,2,1,9,0,1,1,2,13,1,31,65
0,0,41,0,0,0,2,1,10,0,1,1,2,48,1,31,66
0,0,77,0,0,0,2,1,10,0,1,3,0,84,1,32,67
0,0,77,0,0,0,2,1,10,0,1,3,0,77,1,32,68
0,0,47,5,6,0,3,1,7,0,1,3,0,0,1,33,69
1,1,56,0,0,3,5,1,2,0,1,1,2,17,2,34,70
0,0,61,0,0,2,4,1,2,0,1,3,1,16,1,34,71
0,0,43,0,0,3,3,1,9,0,1,1,2,78,1,35,72
2,1,8,5,0,0,3,2,1,3,3,0,0,0,0,35,73
2,1,7,5,0,0,3,2,2,2,3,0,0,0,0,35,74
1,1,39,0,0,0,3,1,7,0,1,3,0,0,1,35,75
1,0,53,0,0,0,2,1,10,0,1,3,1,38,1,36,76
2,0,12,5,0,0,2,2,2,4,2,0,0,0,0,36,77
0,0,50,0,0,0,2,1,9,0,1,3,1,12,1,36,78
0,0,53,3,0,0,2,1,9,0,1,1,2,34,1,37,79
2,0,10,5,0,0,2,2,1,3,2,0,0,0,0,38,80
0,1,43,3,0,2,3,1,9,0,1,1,2,36,1,38,81
1,0,40,0,0,0,2,1,8,0,1,1,1,4,1,39,82
2,0,30,3,7,0,2,1,8,6,3,1,2,5,2,39,83
0,0,38,0,7,0,3,1,8,0,1,1,2,10,1,39,84
1,0,68,5,0,0,2,1,5,0,1,3,2,0,1,39,85
2,0,2,5,6,0,0,2,0,1,0,0,0,0,0,39,86
0,0,53,3,0,0,2,1,7,0,1,1,2,8,1,40,87
2,1,3,5,0,0,0,1,0,0,1,0,0,0,0,41,88
1,1,37,0,0,0,2,1,7,0,1,3,0,0,1,41,89
0,0,46,0,0,0,2,1,9,0,1,1,2,49,2,41,90
7,0,32,5,0,0,2,1,6,0,1,1,2,14,1,42,91
0,0,31,5,0,0,2,1,6,0,1,1,2,17,1,42,92
0,0,31,5,6,0,3,1,10,0,1,1,2,25,1,43,93
2,0,23,5,1,0,2,1,6,0,1,1,2,7,1,44,94
0,1,34,0,1,0,2,2,7,6,2,1,2,28,1,44,95
5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,44,96
5,0,9,5,1,0,2,2,0,3,2,0,0,0,0,44,97
2,1,23,5,1,0,2,1,6,0,1,1,2,10,1,44,98
2,1,22,2,1,0,2,1,6,0,1,1,2,7,1,44,99
0,0,44,5,0,0,2,1,6,0,1,3,2,15,1,45,100
2,0,1,5,7,0,0,0,0,0,0,0,0,0,0,46,101
0,1,24,2,7,0,2,1,6,0,1,1,2,12,1,46,102
2,1,2,5,7,0,0,0,0,0,0,0,0,0,0,46,103
2,0,5,5,7,0,2,1,0,0,1,0,0,0,0,46,104
2,0,17,5,0,0,2,2,4,5,3,1,1,0,1,47,105
0,0,48,0,0,3,3,1,10,0,1,1,1,17,1,47,106
1,1,46,0,0,3,2,1,9,0,1,1,1,6,1,47,107
2,1,12,5,0,0,2,2,2,4,2,0,0,0,0,47,108
2,0,19,5,0,0,2,2,7,6,2,1,2,0,1,47,109
0,0,62,3,0,0,2,1,2,0,1,3,2,11,1,48,110
7,1,69,4,0,0,2,1,7,0,1,3,0,13,1,48,111
1,0,24,0,0,3,3,1,6,0,1,1,2,4,1,49,112
1,1,26,0,6,3,3,1,9,0,1,1,2,21,1,49,113
0,0,77,0,0,2,4,1,2,0,1,3,0,5,1,50,114
2,0,40,0,0,0,3,1,4,0,1,1,2,8,1,50,115
2,1,40,0,0,0,2,1,6,0,1,1,2,11,1,50,116
2,0,40,0,0,0,3,1,4,0,1,1,2,9,1,50,117
1,1,77,0,0,0,3,1,4,0,1,3,2,72,1,50,118
0,1,36,2,0,3,5,1,5,0,1,2,2,0,2,51,119
2,0,4,5,0,0,0,2,1,4,2,0,0,0,0,51,120
0,1,44,2,6,2,3,1,6,0,1,1,2,3,1,52,121
2,1,16,5,6,0,3,2,5,5,2,3,0,0,1,52,122
0,1,37,3,6,0,2,1,6,0,1,1,2,20,1,53,123
2,1,16,5,6,0,3,2,5,5,2,1,2,5,1,53,124
2,0,16,5,6,0,3,2,4,5,2,3,2,0,1,53,125
1,1,76,0,0,0,2,1,9,0,1,3,0,5,1,54,126
0,0,80,0,0,0,2,1,9,0,1,3,0,20,1,54,127
2,1,6,5,5,3,3,2,1,3,2,0,0,0,0,55,128
0,0,36,0,5,2,3,1,9,0,1,1,2,0,1,55,129
1,1,29,0,5,3,3,1,9,0,1,3,0,0,1,55,130
2,0,4,5,0,3,0,1,0,0,1,0,0,0,0,55,131
7,1,39,2,0,3,5,1,2,0,1,1,2,9,1,56,132
2,0,5,5,6,2,3,2,0,2,2,0,0,0,0,56,133
2,1,14,5,6,0,4,2,2,4,2,0,0,0,0,56,134
0,1,31,5,6,0,3,2,6,6,2,3,2,4,1,56,135
2,0,7,5,6,0,3,2,1,3,2,0,0,0,0,56,136
7,1,85,4,0,0,3,1,4,0,1,3,0,0,1,57,137
7,1,38,5,0,0,2,1,7,0,1,1,0,3,1,58,138
0,1,45,0,4,0,3,1,10,0,1,1,2,6,1,59,139
2,1,15,5,4,3,3,2,4,5,3,3,0,0,1,59,140
2,1,17,5,4,3,3,2,6,5,3,3,0,0,1,59,141
1,0,46,0,4,3,4,1,10,0,1,1,2,6,1,59,142
0,1,85,4,0,0,2,1,2,0,1,3,0,4,2,60,143
0,0,38,5,0,0,2,1,6,0,1,3,2,18,1,61,144
0,0,38,5,0,0,2,1,10,0,1,1,2,7,1,62,145
0,1,36,5,7,0,2,2,8,6,2,1,2,13,1,63,146
1,1,76,0,1,0,2,1,6,0,1,3,0,2,2,64,147
2,0,36,5,1,0,2,1,6,0,1,2,2,9,1,64,148
0,0,79,0,1,0,2,1,6,0,1,3,0,4,1,64,149
1,1,31,0,0,0,2,1,6,0,1,3,2,6,1,65,150
0,0,32,0,0,0,2,1,7,0,1,1,1,12,1,65,151
2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,65,152
2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,66,153
2,1,3,5,0,0,3,2,1,1,3,0,0,0,0,66,154
0,1,34,0,6,2,3,1,6,0,1,1,2,21,1,66,155
2,1,3,5,6,0,0,1,0,0,1,0,0,0,0,66,156
0,0,35,0,6,0,2,1,6,0,1,1,2,17,1,66,157
5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,67,158
0,1,26,2,1,0,2,1,6,0,1,3,2,10,1,67,159
2,1,2,5,2,0,0,0,0,0,0,0,0,0,0,67,160
0,1,30,3,0,0,2,1,6,0,1,1,2,16,2,68,161
7,0,27,5,0,0,2,1,6,0,1,1,2,5,1,68,162
2,1,1,5,6,0,0,0,0,0,0,0,0,0,0,68,163
7,0,29,5,0,3,1,1,2,0,1,1,2,5,1,69,164
2,1,12,5,6,3,5,2,1,5,2,0,0,0,0,69,165
7,1,1,5,0,0,0,0,0,0,0,0,0,0,0,69,166
