FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA,household_id
0,2,0,0,0,7,99,3,2,69,0
0,1,1,1,59,12,29,8,2,92,1
0,1,1,2,51,7,6,5,2,90,2
0,1,1,0,59,12,18,6,2,124,3
0,2,1,0,0,7,99,5,1,6,4
0,1,1,2,59,6,42,6,2,38,5
0,0,0,0,0,0,99,0,0,42,6
0,1,0,0,33,3,10,4,2,103,7
0,2,0,0,0,8,99,5,2,66,8
0,2,0,0,0,18,99,1,2,32,9
0,1,1,1,46,10,18,8,2,100,10
0,1,1,2,28,4,7,5,2,89,11
0,0,0,0,0,0,99,0,0,231,12
0,1,1,2,59,14,27,8,2,153,13
0,1,1,2,47,8,18,7,2,140,14
0,1,1,1,59,4,15,5,2,227,15
0,2,1,0,0,9,99,2,2,39,16
0,1,1,1,59,9,32,8,2,227,17
0,1,1,1,59,12,46,6,2,65,18
0,2,1,0,0,13,99,6,2,36,19
0,2,0,0,0,8,99,3,2,205,20
0,2,0,0,0,6,99,2,2,223,21
0,1,1,1,31,18,18,6,2,76,22
0,1,1,2,43,7,16,4,2,67,23
0,1,1,1,59,6,34,9,2,212,24
0,2,0,0,0,8,99,3,2,223,25
0,2,0,0,0,4,99,2,2,4,26
0,2,1,0,0,2,99,1,2,138,27
0,1,1,1,48,10,9,6,2,67,28
0,2,0,0,0,3,99,2,2,209,29
0,1,1,0,59,0,17,2,2,27,30
0,1,1,2,45,7,17,4,2,223,31
0,1,1,0,59,11,91,7,2,38,32
0,1,1,0,40,10,11,5,2,19,33
0,1,1,2,47,7,27,3,2,51,34
0,1,1,1,59,9,32,7,2,13,35
0,1,1,1,59,15,28,5,2,10,36
0,2,0,0,0,10,99,5,2,177,37
0,2,0,0,0,2,99,4,2,227,38
0,1,1,2,43,8,22,6,2,224,39
0,2,0,0,0,6,99,3,2,8,40
0,1,1,1,31,16,19,8,2,102,41
0,2,1,0,0,4,99,2,2,149,42
0,2,0,0,0,6,99,3,2,90,43
0,1,1,1,42,12,18,5,2,125,44
0,2,0,0,0,6,99,2,2,118,45
0,2,0,0,0,3,99,4,2,121,46
0,1,1,1,59,15,35,7,2,36,47
0,1,1,0,37,3,12,5,2,22,48
0,2,0,0,0,4,99,4,2,19,49
0,1,1,0,43,21,13,7,2,126,50
0,2,1,0,0,2,99,1,2,138,51
0,1,1,0,40,2,13,3,2,220,52
0,2,0,0,0,15,99,4,2,163,53
0,1,1,0,59,10,27,8,2,27,54
0,2,0,0,0,7,99,4,2,208,55
0,2,0,0,0,2,99,4,2,194,56
0,0,0,0,0,0,99,0,0,152,57
0,0,0,0,0,0,99,0,0,208,58
0,1,0,1,59,99,5,4,2,140,59
0,1,1,0,5,8,1,5,2,29,60
0,2,0,0,0,4,99,4,2,133,61
0,2,0,0,0,6,99,3,2,177,62
0,2,0,0,0,25,99,2,2,41,63
0,1,1,2,49,8,12,6,2,59,64
0,1,1,2,39,7,15,3,2,188,65
0,1,1,2,59,9,16,4,2,106,66
0,2,0,0,0,4,99,4,2,187,67
0,2,0,0,0,4,99,1,2,133,68
0,2,0,0,0,6,99,4,2,228,69
0,2,1,0,0,99,99,7,2,71,70
0,0,0,0,0,0,99,0,0,134,71
0,1,1,1,44,8,17,6,2,220,72
0,1,1,1,31,4,27,5,2,231,73
0,1,1,2,30,12,7,5,2,8,74
0,1,1,2,49,8,13,6,2,59,75
0,1,1,2,59,8,17,5,2,150,76
0,1,1,1,59,6,35,6,2,119,77
0,2,0,0,0,0,99,3,2,211,78
0,1,1,2,59,17,11,5,2,18,79
0,2,1,0,0,7,99,3,2,220,80
0,1,1,1,54,2,35,6,2,173,81
0,2,1,0,0,2,99,3,2,2,82
0,1,1,0,20,5,4,4,2,218,83
0,1,1,0,49,4,35,7,2,71,84
0,1,1,2,46,6,27,3,2,51,85
0,1,1,1,59,6,25,5,2,59,86
0,2,0,0,0,99,99,3,2,228,87
0,1,1,1,47,10,20,8,2,17,88
0,2,0,0,0,4,99,1,2,140,89
0,1,1,2,51,8,16,4,2,39,90
0,2,0,0,0,3,99,4,2,177,91
0,1,1,1,30,2,3,4,2,68,92
0,1,1,2,59,16,18,7,2,111,93
0,2,0,0,0,99,99,5,2,217,94
0,1,2,1,59,20,36,6,2,84,95
0,1,1,1,59,8,26,5,2,173,96
0,2,0,0,0,4,99,1,2,140,97
0,1,1,1,46,8,17,6,2,30,98
0,2,1,0,0,1,99,4,2,2,99
0,2,0,0,0,3,99,4,2,121,100
0,2,1,0,0,11,99,7,2,130,101
0,1,1,2,23,4,18,5,2,34,102
0,2,1,0,0,4,99,4,2,103,103
0,2,0,0,0,4,99,2,2,228,104
0,1,0,0,37,3,10,4,2,83,105
0,1,1,1,59,12,35,7,2,157,106
0,2,0,0,0,4,99,2,2,43,107
0,2,0,0,0,4,99,5,2,229,108
0,0,0,0,0,0,99,0,0,208,109
0,1,1,2,45,5,18,8,2,5,110
0,2,0,0,0,2,99,2,2,136,111
0,1,1,0,0,99,13,5,2,204,112
0,2,1,0,0,8,99,5,2,199,113
0,1,1,0,59,6,7,3,2,25,114
0,2,0,0,0,3,99,4,2,208,115
0,2,1,0,0,11,99,2,2,52,116
0,2,1,0,0,8,99,9,2,192,117
0,2,0,0,0,5,99,1,2,202,118
0,1,1,2,59,7,38,8,2,150,119
0,2,1,0,0,6,99,1,2,121,120
0,1,1,1,38,12,20,6,2,223,121
0,1,1,2,59,8,13,5,2,104,122
0,2,1,0,0,7,99,5,2,123,123
0,2,0,0,0,6,99,4,2,189,124
0,1,1,2,38,5,23,6,2,201,125
0,1,1,2,59,10,28,1,2,228,126
0,2,0,0,0,99,99,2,2,84,127
0,1,1,2,57,77,11,6,2,24,128
0,2,0,0,0,3,99,4,2,81,129
0,2,0,0,0,7,99,2,2,139,130
0,2,0,0,0,2,99,3,2,46,131
0,1,1,1,59,8,46,6,2,157,132
0,1,1,2,59,2,18,5,2,173,133
0,1,1,1,46,10,35,4,2,53,134
0,2,1,0,0,10,99,3,2,52,135
0,0,0,0,0,0,99,0,0,122,136
0,1,1,2,59,6,23,5,2,63,137
0,1,1,2,59,11,15,8,2,10,138
0,2,0,0,0,4,99,3,2,207,139
0,2,0,0,0,9,99,7,1,202,140
0,1,1,1,44,6,35,6,2,157,141
0,2,0,0,0,4,99,2,2,228,142
0,0,0,0,0,0,99,0,0,220,143
0,2,1,0,0,6,99,7,2,129,144
0,1,1,0,59,7,13,5,2,66,145
0,0,0,0,0,0,99,0,2,18,146
0,2,0,0,0,3,99,5,2,132,147
0,0,1,0,0,0,99,0,0,229,148
0,2,0,0,0,99,99,1,2,121,149
0,1,0,1,59,1,44,5,2,180,150
0,0,2,0,0,0,99,0,0,116,151
0,2,0,0,0,3,99,4,2,47,152
0,1,1,1,41,8,35,4,2,149,153
0,0,0,0,0,0,99,0,0,229,154
0,2,0,0,0,13,99,5,2,71,155
0,1,1,2,39,4,7,5,2,89,156
0,1,1,2,44,7,18,7,2,218,157
0,2,0,0,0,99,99,9,2,9,158
0,0,0,0,0,0,99,0,0,112,159
0,1,1,2,59,9,31,6,2,108,160
0,2,0,0,0,3,99,5,2,232,161
0,1,1,2,2,3,27,5,2,73,162
0,1,1,1,59,7,16,8,2,192,163
0,1,1,1,59,24,75,9,2,224,164
0,1,1,1,33,10,15,4,2,188,165
0,2,1,0,0,12,99,5,2,116,166
0,2,0,0,0,2,99,3,2,146,167
0,2,0,0,0,4,99,5,2,148,168
0,0,0,0,0,0,99,0,0,62,169
0,1,1,1,32,10,13,6,2,102,170
0,2,1,0,0,6,99,6,2,67,171
0,2,0,0,0,4,99,4,2,180,172
0,2,1,0,0,6,99,5,2,136,173
0,2,0,0,0,2,99,3,2,140,174
0,1,1,2,50,8,13,6,2,59,175
0,2,0,0,0,11,99,6,2,9,176
0,1,1,1,46,5,12,3,2,36,177
0,1,1,1,59,10,79,6,2,133,178
0,2,1,0,0,6,99,3,2,66,179
0,1,1,1,59,11,21,7,2,129,180
0,1,1,0,59,11,27,6,2,142,181
0,1,1,2,46,9,13,7,2,223,182
0,2,0,0,0,6,99,3,2,96,183
0,1,0,2,18,5,20,4,2,201,184
0,1,1,1,59,10,35,9,2,93,185
0,1,1,2,33,1,9,3,2,116,186
0,1,1,1,59,11,34,7,2,127,187
0,1,1,2,40,3,13,3,2,165,188
0,1,1,1,44,11,21,5,2,204,189
0,2,1,0,0,10,99,3,2,89,190
0,0,0,0,0,0,99,0,0,14,191
0,1,1,1,45,8,35,4,2,149,192
0,1,2,1,59,7,99,9,2,69,193
0,1,1,2,46,8,13,6,2,115,194
