year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed,loyalty_history_id,activity_id
2018,5,0,0,0.0,0,0,477,0
2018,4,0,0,0.0,0,0,477,1
2018,11,6,12666,21561.9,0,0,477,2
2018,8,15,35396,53394.9,0,0,477,3
2018,6,16,47494,72025.9,0,0,477,4
2018,3,0,0,0.0,0,0,477,5
2018,4,6,8617,12176.1,0,0,477,6
2018,11,0,0,0.0,0,0,477,7
2018,4,1,1785,2874.8,0,0,477,8
2018,8,3,4195,6552.9,0,0,477,9
2018,8,2,5472,8071.3,0,0,477,10
2018,4,2,1170,1944.4,0,0,688,11
2018,9,13,9752,14480.3,0,0,688,12
2018,8,16,35081,50539.8,0,0,688,13
2018,6,4,11777,25798.2,0,0,688,14
2018,4,0,0,0.0,0,0,688,15
2018,11,0,0,0.0,0,0,688,16
2018,5,0,0,0.0,0,0,688,17
2018,9,4,3475,5404.7,0,0,688,18
2018,6,16,38773,59139.5,0,0,688,19
2018,9,4,7306,10895.1,0,0,688,20
2018,2,0,0,0.0,0,0,688,21
2018,9,14,15937,25337.3,0,0,973,22
2018,4,0,0,0.0,0,0,973,23
2018,9,22,40869,62266.3,0,0,973,24
2018,7,16,23697,37303.2,0,0,973,25
2018,6,0,0,0.0,0,0,973,26
2018,6,0,0,0.0,0,0,973,27
2018,12,0,0,0.0,0,0,973,28
2018,12,6,26141,45558.1,0,0,973,29
2018,12,3,5242,6922.8,0,0,973,30
2018,10,0,0,0.0,0,0,973,31
2018,9,0,0,0.0,0,0,973,32
2018,6,14,30063,45582.6,0,0,399,33
2018,3,0,0,0.0,0,0,399,34
2018,12,4,3280,4869.1,0,0,399,35
2018,5,0,0,0.0,0,0,399,36
2018,4,0,0,0.0,0,0,399,37
2018,10,8,12700,20456.1,0,0,399,38
2018,4,0,0,0.0,0,0,399,39
2018,12,13,27529,39302.4,0,0,399,40
2018,8,16,33761,45798.2,0,0,399,41
2018,7,0,0,0.0,0,0,399,42
2018,6,23,14697,26516.5,551,100,399,43
2018,8,12,22020,35175.8,0,0,299,44
2018,9,0,0,0.0,0,0,299,45
2018,7,27,29878,43875.0,0,0,299,46
2018,12,4,7307,11074.4,0,0,299,47
2018,4,0,0,0.0,0,0,299,48
2018,12,6,5163,7405.7,0,0,299,49
2018,4,0,0,0.0,0,0,299,50
2018,11,0,0,0.0,0,0,299,51
2018,9,3,3059,4595.9,0,0,299,52
2018,10,7,11504,16959.6,0,0,299,53
2018,3,1,1290,2017.9,0,0,299,54
2018,10,0,0,0.0,0,0,612,55
2018,3,0,0,0.0,0,0,612,56
2018,12,8,13314,16461.6,536,96,612,57
