province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month,loyalty_history_id,country
2,24,50,2,2,0,2,1,4160.32,2,2018,12,0.0,0.0,0,1
7,21,23,1,1,74801,2,1,5098.46,2,2016,10,0.0,0.0,1,1
2,24,52,2,1,89754,2,3,15303.55,2,2016,9,0.0,0.0,2,1
9,12,6,2,1,77762,3,3,3473.37,2,2017,12,0.0,0.0,3,1
9,13,7,1,1,84210,2,2,5376.06,2,2015,7,0.0,0.0,4,1
6,13,7,2,2,0,2,1,5762.67,2,2014,12,0.0,0.0,5,1
2,24,52,1,3,180534,2,2,8088.03,2,2018,6,0.0,0.0,6,1
6,8,5,2,2,0,3,3,2645.28,2,2013,1,0.0,0.0,7,1
7,21,33,1,1,69388,2,2,11919.89,2,2017,12,0.0,0.0,8,1
2,28,53,2,3,187564,2,2,5406.74,2,2013,3,0.0,0.0,9,1
9,13,12,2,1,58369,2,1,5069.08,2,2017,12,0.0,0.0,10,1
3,29,36,1,1,65326,3,2,10198.69,2,2016,11,0.0,0.0,11,1
7,21,29,1,2,0,3,2,2912.07,2,2014,10,0.0,0.0,12,1
2,13,33,1,1,77674,2,2,7756.98,1,2018,2,0.0,0.0,13,1
2,24,53,2,1,52509,2,2,7168.05,2,2018,8,0.0,0.0,14,1
7,21,30,1,1,67563,1,2,7200.03,2,2015,5,0.0,0.0,15,1
6,21,23,1,1,59317,1,3,4856.12,2,2016,7,2017.0,8.0,16,1
2,24,50,2,5,93088,1,2,7193.01,2,2016,11,0.0,0.0,17,1
9,12,6,1,1,65365,2,2,4247.16,2,2016,9,0.0,0.0,18,1
7,21,23,2,2,0,3,2,2414.42,2,2013,2,0.0,0.0,19,1
7,21,23,1,2,0,2,3,7129.04,2,2015,9,0.0,0.0,20,1
9,12,15,1,2,0,1,2,3833.91,2,2017,3,0.0,0.0,21,1
7,24,47,1,1,95478,3,1,5393.65,2,2018,8,2017.0,10.0,22,1
