action,action_type,action_detail,device_type,secs_elapsed,user_id,session_id
81,7.0,99,8.0,1255,934,0
154,2.0,99,8.0,9653,934,1
118,3.0,101,8.0,1003,934,2
23,2.0,17,8.0,686,934,3
165,3.0,78,8.0,51,934,4
118,3.0,101,8.0,601,934,5
74,3.0,34,8.0,3636,934,6
158,7.0,57,8.0,5509,934,7
118,3.0,101,8.0,54,934,8
23,2.0,17,8.0,453,934,9
147,7.0,60,6.0,882,474,10
158,7.0,57,6.0,28288,474,11
78,0.0,0,6.0,528,474,12
118,3.0,101,6.0,29,474,13
74,3.0,34,6.0,490,474,14
158,7.0,57,6.0,21675,474,15
74,0.0,0,6.0,1264,474,16
165,3.0,78,6.0,37091,474,17
81,0.0,0,6.0,955,474,18
158,7.0,57,6.0,44577,474,19
118,3.0,101,6.0,496,492,20
54,0.0,0,6.0,10649,492,21
147,7.0,60,6.0,1815,492,22
61,0.0,0,6.0,2968,492,23
77,0.0,0,6.0,2011,492,24
147,7.0,60,6.0,1856,492,25
118,3.0,101,6.0,764,492,26
158,7.0,92,6.0,23302,492,27
60,7.0,28,6.0,376028,492,28
33,6.0,43,6.0,29078,492,29
154,2.0,99,8.0,5746,895,30
158,7.0,92,8.0,484,895,31
158,7.0,92,11.0,57,895,32
154,2.0,99,8.0,486,895,33
158,7.0,92,11.0,259,895,34
154,2.0,99,8.0,119374,895,35
154,2.0,99,8.0,10637,895,36
154,2.0,99,8.0,68547,895,37
158,7.0,57,8.0,301,895,38
111,0.0,0,8.0,468,895,39
118,3.0,101,8.0,1371,36,40
158,7.0,92,8.0,182,36,41
81,7.0,99,8.0,31154,36,42
154,2.0,99,8.0,117689,36,43
158,7.0,57,8.0,117,36,44
165,3.0,78,8.0,35,36,45
147,3.0,42,11.0,18894,36,46
158,7.0,57,8.0,3033,36,47
118,3.0,101,8.0,18,36,48
158,7.0,57,8.0,113,36,49
118,3.0,101,6.0,742,544,50
154,2.0,99,6.0,52002,544,51
158,7.0,57,6.0,13141,544,52
23,2.0,17,6.0,423,544,53
158,7.0,57,6.0,8473,544,54
118,3.0,101,6.0,10709,544,55
154,2.0,99,6.0,9148,544,56
81,7.0,99,6.0,687,544,57
49,0.0,0,6.0,2893,544,58
118,3.0,101,6.0,1712,544,59
147,6.0,65,8.0,24039,494,60
74,3.0,34,8.0,6538,494,61
60,7.0,28,8.0,23458,494,62
31,6.0,20,8.0,852,494,63
31,6.0,20,8.0,588,494,64
147,7.0,60,8.0,3093,494,65
133,7.0,50,8.0,1279,494,66
81,7.0,99,8.0,3235,494,67
147,0.0,0,0.0,2068,494,68
168,2.0,44,8.0,66538,494,69
81,7.0,99,6.0,50495,531,70
118,3.0,101,6.0,1775,531,71
158,7.0,92,6.0,5316,531,72
81,7.0,99,6.0,1651,531,73
165,3.0,78,6.0,255,531,74
158,7.0,57,6.0,12285,531,75
23,2.0,17,6.0,1037,531,76
23,2.0,17,6.0,715,531,77
187,0.0,0,6.0,22210,531,78
158,7.0,57,6.0,9214,531,79
23,2.0,17,10.0,4583,927,80
60,7.0,28,10.0,4932,927,81
158,7.0,57,10.0,114395,927,82
104,0.0,0,10.0,126,927,83
102,7.0,97,10.0,2724,927,84
158,7.0,92,10.0,213707,927,85
158,7.0,57,10.0,12470,927,86
154,2.0,99,7.0,23479,927,87
19,0.0,0,10.0,48,927,88
158,7.0,57,10.0,12645,927,89
60,7.0,28,6.0,712,955,90
147,7.0,60,6.0,1642,955,91
56,7.0,26,6.0,872,955,92
158,7.0,92,6.0,71,955,93
135,6.0,73,6.0,1520,955,94
56,7.0,26,6.0,840,955,95
