gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,user_id
2.0,44,0.0,0,2.0,2.0,6.0,6.0,2.0,7.0,0.0,9.0,0
1.0,39,0.0,25,2.0,2.0,6.0,3.0,2.0,6.0,8.0,9.0,1
1.0,62,1.0,0,2.0,2.0,2.0,3.0,2.0,3.0,13.0,9.0,2
2.0,25,0.0,0,2.0,2.0,6.0,0.0,2.0,3.0,13.0,10.0,3
1.0,41,1.0,0,2.0,4.0,2.0,6.0,2.0,3.0,0.0,9.0,4
2.0,26,1.0,25,2.0,2.0,2.0,0.0,2.0,3.0,13.0,9.0,5
2.0,43,1.0,0,2.0,0.0,6.0,3.0,3.0,6.0,13.0,9.0,6
1.0,41,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,9.0,3.0,7
1.0,22,0.0,0,2.0,2.0,6.0,0.0,2.0,6.0,13.0,6.0,8
2.0,38,0.0,0,2.0,2.0,4.0,6.0,2.0,3.0,0.0,9.0,9
2.0,28,0.0,12,2.0,5.0,2.0,6.0,2.0,3.0,13.0,9.0,10
1.0,23,1.0,0,2.0,2.0,2.0,0.0,2.0,6.0,13.0,10.0,11
2.0,47,1.0,25,2.0,2.0,2.0,3.0,2.0,3.0,0.0,9.0,12
2.0,31,0.0,0,2.0,5.0,6.0,6.0,2.0,3.0,8.0,4.0,13
1.0,36,0.0,0,2.0,5.0,2.0,0.0,2.0,3.0,8.0,9.0,14
2.0,35,0.0,0,2.0,7.0,2.0,0.0,0.0,3.0,0.0,10.0,15
1.0,33,0.0,0,2.0,2.0,6.0,0.0,2.0,6.0,5.0,3.0,16
2.0,25,0.0,0,2.0,5.0,2.0,6.0,2.0,3.0,13.0,9.0,17
0.0,23,1.0,0,2.0,7.0,0.0,0.0,3.0,3.0,5.0,9.0,18
0.0,41,0.0,0,2.0,2.0,6.0,6.0,2.0,4.0,5.0,9.0,19
0.0,29,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,13.0,6.0,20
0.0,54,0.0,0,2.0,2.0,6.0,0.0,2.0,3.0,5.0,10.0,21
0.0,29,0.0,0,2.0,5.0,2.0,6.0,2.0,6.0,5.0,4.0,22
2.0,30,0.0,0,2.0,5.0,9.0,6.0,3.0,6.0,5.0,9.0,23
2.0,43,0.0,0,2.0,2.0,2.0,6.0,3.0,6.0,5.0,9.0,24
0.0,33,0.0,0,2.0,0.0,6.0,6.0,2.0,8.0,5.0,9.0,25
0.0,27,0.0,0,2.0,2.0,6.0,6.0,2.0,6.0,8.0,9.0,26
1.0,29,1.0,25,2.0,5.0,2.0,3.0,2.0,6.0,13.0,10.0,27
2.0,29,1.0,12,2.0,2.0,6.0,6.0,3.0,6.0,9.0,9.0,28
1.0,56,0.0,0,2.0,6.0,2.0,6.0,3.0,6.0,5.0,4.0,29
1.0,29,0.0,0,2.0,5.0,9.0,6.0,2.0,3.0,5.0,9.0,30
1.0,39,0.0,0,2.0,2.0,6.0,5.0,2.0,8.0,5.0,5.0,31
