year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed,loyalty_history_id,activity_id
2018,8,6,7246,11386.6,615,111,477,0
2018,4,0,0,0.0,0,0,477,1
2018,12,1,2265,3428.4,0,0,477,2
2018,4,3,4474,6790.1,0,0,477,3
2018,7,0,0,0.0,0,0,477,4
2018,10,1,1806,2478.4,474,87,477,5
2018,3,24,45729,66613.4,0,0,477,6
2018,10,5,7017,10206.9,0,0,477,7
2018,12,4,9763,14772.3,0,0,477,8
2018,6,21,26870,38546.4,0,0,477,9
2018,3,4,4966,7404.6,0,0,477,10
2018,10,4,8008,11921.6,0,0,688,11
2018,11,4,8719,12517.5,0,0,688,12
2018,10,12,11779,25082.1,0,0,688,13
2018,7,5,4228,6158.8,0,0,688,14
2018,6,0,0,0.0,0,0,688,15
2018,7,1,1173,1780.5,0,0,688,16
2018,8,0,0,0.0,0,0,688,17
2018,8,0,0,0.0,0,0,688,18
2018,3,3,5235,8057.6,0,0,688,19
2018,2,0,0,0.0,0,0,688,20
2018,6,0,0,0.0,0,0,688,21
2018,8,0,0,0.0,0,0,973,22
2018,10,19,25934,39735.1,0,0,973,23
2018,7,13,18285,32621.5,0,0,973,24
2018,2,0,0,0.0,0,0,973,25
2018,6,19,28314,47293.0,572,101,973,26
2018,10,1,2064,2710.3,654,121,973,27
2018,11,2,4939,7369.1,0,0,973,28
2018,9,2,2454,3766.0,0,0,973,29
2018,12,4,8823,13797.8,0,0,973,30
2018,4,0,0,0.0,0,0,973,31
2018,4,0,0,0.0,0,0,973,32
2018,10,0,0,0.0,0,0,399,33
2018,8,15,19247,33658.5,0,0,399,34
2018,8,8,13673,39722.5,0,0,399,35
2018,11,16,29474,46797.5,0,0,399,36
2018,12,14,9657,12428.7,0,0,399,37
2018,4,0,0,0.0,0,0,399,38
2018,6,14,9489,12375.3,0,0,399,39
2018,1,0,0,0.0,0,0,399,40
2018,7,14,21637,35008.4,0,0,399,41
2018,11,0,0,0.0,0,0,399,42
2018,4,0,0,0.0,0,0,399,43
2018,3,0,0,0.0,0,0,299,44
2018,2,0,0,0.0,0,0,299,45
2018,8,20,13180,20456.4,0,0,299,46
2018,12,7,4225,6626.9,0,0,299,47
2018,1,0,0,0.0,0,0,299,48
2018,6,10,7001,10065.6,0,0,299,49
2018,12,16,22370,41226.5,0,0,299,50
2018,9,4,2075,2929.1,0,0,299,51
2018,9,4,12114,22113.5,0,0,299,52
2018,3,5,9355,14779.5,0,0,299,53
2018,11,6,5843,9786.9,0,0,299,54
2018,3,2,2206,3749.3,0,0,612,55
2018,9,0,0,0.0,0,0,612,56
2018,7,23,23810,37701.4,0,0,612,57
2018,2,3,3748,5863.5,0,0,612,58
2018,12,14,14194,19726.9,560,103,612,59
2018,12,15,9413,13797.2,0,0,612,60
2018,6,4,2543,3917.6,0,0,612,61
2018,5,2,2248,3276.0,0,0,612,62
2018,3,0,0,0.0,0,0,612,63
2018,7,5,7458,11512.3,0,0,612,64
2018,5,0,0,0.0,0,0,612,65
2018,10,0,0,0.0,0,0,815,66
2018,3,3,4755,7735.7,0,0,815,67
2018,11,3,6488,9593.3,0,0,815,68
2018,2,0,0,0.0,0,0,815,69
2018,5,0,0,0.0,0,0,815,70
2018,3,3,4094,6302.4,0,0,815,71
2018,11,0,0,0.0,0,0,815,72
2018,10,3,3394,4818.3,0,0,815,73
2018,8,0,0,0.0,0,0,815,74
2018,9,5,7078,9997.4,0,0,815,75
2018,7,23,43399,66012.9,0,0,815,76
2018,8,11,8271,12067.8,0,0,55,77
2018,3,0,0,0.0,0,0,55,78
2018,9,0,0,0.0,0,0,55,79
2018,5,0,0,0.0,0,0,55,80
2018,6,6,9006,10769.8,0,0,55,81
2018,8,0,0,0.0,0,0,55,82
2018,4,0,0,0.0,0,0,55,83
2018,9,16,26064,39598.6,0,0,55,84
2018,9,2,2151,3503.4,0,0,55,85
2018,3,2,2028,3273.5,0,0,55,86
2018,12,0,0,0.0,0,0,55,87
2018,3,0,0,0.0,0,0,363,88
2018,7,2,2465,2463.9,840,152,90,89
2018,8,0,0,0.0,0,0,283,90
2018,8,0,0,0.0,0,0,188,91
2018,1,0,0,0.0,0,0,730,92
2017,8,0,0,0.0,0,0,780,93
2017,3,0,0,0.0,0,0,965,94
2018,8,2,3247,3259.8,0,0,350,95
2018,2,0,0,0.0,0,0,288,96
2017,11,0,0,0.0,0,0,572,97
2018,10,1,2250,2241.0,0,0,524,98
2018,5,0,0,0.0,0,0,831,99
2018,7,0,0,0.0,0,0,118,100
2017,4,2,1209,1146.0,0,0,417,101
2017,5,4,7695,7743.3,0,0,965,102
2018,9,3,5316,5325.2,0,0,851,103
2018,10,1,1023,1020.3,0,0,879,104
2017,8,0,0,0.0,0,0,804,105
2017,3,0,0,0.0,0,0,942,106
2017,7,4,8796,8802.5,0,0,533,107
2018,3,2,3664,3758.0,0,0,611,108
2018,4,0,0,0.0,0,0,433,109
2018,4,0,0,0.0,0,0,137,110
2018,9,2,2111,2228.8,0,0,915,111
2017,5,0,0,0.0,0,0,643,112
2018,5,2,1570,1584.6,0,0,941,113
2018,11,0,0,0.0,0,0,5,114
2018,10,0,0,0.0,0,0,557,115
2017,9,2,2840,2809.9,0,0,145,116
