gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,user_id
2.0,28,0.0,0,2.0,2.0,2.0,3.0,2.0,3.0,13.0,9.0,0
0.0,53,0.0,0,2.0,5.0,6.0,3.0,2.0,6.0,11.0,4.0,1
2.0,57,0.0,0,2.0,5.0,6.0,0.0,2.0,3.0,13.0,9.0,2
2.0,30,1.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,9.0,3
2.0,64,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,9.0,9.0,4
0.0,35,0.0,0,2.0,2.0,2.0,0.0,2.0,8.0,0.0,9.0,5
1.0,40,0.0,0,2.0,2.0,2.0,0.0,2.0,6.0,8.0,6.0,6
1.0,41,0.0,0,2.0,5.0,2.0,3.0,2.0,3.0,8.0,9.0,7
0.0,64,0.0,0,2.0,2.0,2.0,0.0,2.0,3.0,5.0,6.0,8
1.0,32,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0,9
0.0,29,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0,10
2.0,27,0.0,0,2.0,7.0,4.0,0.0,2.0,3.0,5.0,6.0,11
2.0,31,1.0,24,2.0,2.0,2.0,6.0,2.0,6.0,5.0,9.0,12
1.0,29,0.0,0,2.0,2.0,6.0,3.0,1.0,3.0,5.0,3.0,13
0.0,43,0.0,0,2.0,7.0,6.0,6.0,2.0,7.0,11.0,9.0,14
1.0,32,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0,15
1.0,32,0.0,0,2.0,7.0,6.0,6.0,2.0,3.0,5.0,9.0,16
2.0,22,0.0,0,2.0,7.0,6.0,0.0,2.0,6.0,5.0,9.0,17
1.0,34,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,13.0,4.0,18
2.0,26,0.0,0,2.0,7.0,4.0,0.0,2.0,3.0,5.0,9.0,19
2.0,34,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0,20
2.0,27,1.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0,21
1.0,26,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,5.0,5.0,22
1.0,39,1.0,0,2.0,7.0,6.0,6.0,2.0,7.0,11.0,9.0,23
0.0,32,0.0,0,2.0,4.0,6.0,3.0,2.0,6.0,5.0,9.0,24
2.0,32,1.0,0,2.0,2.0,2.0,0.0,2.0,6.0,8.0,9.0,25
1.0,29,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,13.0,9.0,26
2.0,37,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0,27
1.0,31,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0,28
0.0,32,0.0,0,2.0,2.0,2.0,6.0,2.0,8.0,11.0,9.0,29
2.0,30,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,9.0,30
2.0,28,1.0,25,2.0,2.0,2.0,6.0,3.0,8.0,0.0,9.0,31
0.0,32,0.0,0,2.0,2.0,2.0,6.0,2.0,3.0,8.0,9.0,32
1.0,42,0.0,0,2.0,5.0,6.0,3.0,2.0,3.0,8.0,9.0,33
2.0,45,0.0,0,2.0,2.0,2.0,3.0,2.0,6.0,5.0,9.0,34
2.0,55,0.0,0,2.0,2.0,2.0,6.0,2.0,6.0,8.0,9.0,35
1.0,29,1.0,24,2.0,0.0,9.0,6.0,0.0,3.0,0.0,9.0,36
