action,action_type,action_detail,device_type,secs_elapsed,user_id,session_id
103,0.0,0,6.0,168,934,0
158,7.0,57,6.0,29527,934,1
118,3.0,101,6.0,969,934,2
56,7.0,26,6.0,1474,934,3
118,3.0,101,6.0,808,934,4
118,3.0,101,6.0,31,934,5
81,7.0,99,6.0,1367,934,6
81,7.0,99,6.0,1739,934,7
16,0.0,0,6.0,73,934,8
158,7.0,57,6.0,80275,934,9
158,7.0,92,11.0,1476,474,10
6,0.0,0,11.0,97,474,11
158,7.0,92,11.0,3854,474,12
153,2.0,99,11.0,21741,474,13
23,0.0,0,11.0,56020,474,14
158,7.0,57,11.0,374,474,15
166,3.0,95,11.0,4413,474,16
158,0.0,0,0.0,174,474,17
150,3.0,41,11.0,95,474,18
166,3.0,95,11.0,3418,474,19
81,7.0,99,7.0,28764,492,20
81,7.0,99,7.0,19573,492,21
81,7.0,99,7.0,52256,492,22
154,2.0,99,7.0,1224,492,23
54,0.0,0,7.0,2279,492,24
154,2.0,99,7.0,1083,492,25
154,2.0,99,7.0,1555,492,26
158,7.0,92,7.0,1122,492,27
81,7.0,99,7.0,54431,492,28
154,2.0,99,7.0,2597,492,29
154,2.0,99,8.0,2140,895,30
154,2.0,99,8.0,45526,895,31
154,2.0,99,8.0,3454,895,32
81,7.0,99,8.0,8487,895,33
23,2.0,17,8.0,927,895,34
31,6.0,20,8.0,404,895,35
54,6.0,24,8.0,18472,895,36
154,2.0,99,8.0,4706,895,37
23,2.0,17,8.0,378,895,38
23,2.0,17,8.0,1057,895,39
158,7.0,57,2.0,17858,36,40
158,7.0,57,2.0,5890,36,41
147,3.0,43,0.0,403,36,42
75,0.0,0,1.0,745,36,43
44,7.0,97,1.0,322,36,44
6,0.0,0,1.0,16281,36,45
6,0.0,0,6.0,23539,36,46
32,1.0,9,4.0,6964,36,47
81,0.0,0,6.0,904,36,48
31,1.0,10,2.0,3231,36,49
118,3.0,101,6.0,1619,544,50
81,7.0,103,6.0,2175,544,51
183,6.0,85,6.0,11596,544,52
158,7.0,92,6.0,264,544,53
158,7.0,57,6.0,8375,544,54
158,7.0,57,6.0,17179,544,55
158,7.0,57,6.0,3386,544,56
154,2.0,99,6.0,4997,544,57
