FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA,household_id
0,2,0,0,0,4,99,2,2,181,0
0,1,1,2,36,10,17,5,2,229,1
0,2,0,0,0,6,99,4,2,60,2
0,1,1,2,39,5,15,6,2,34,3
0,1,1,0,46,2,11,8,2,90,4
0,2,1,0,0,8,99,6,2,218,5
0,1,1,0,59,12,28,7,2,96,6
0,0,0,0,0,0,99,0,0,196,7
0,0,0,0,0,0,99,0,0,152,8
0,1,0,0,59,2,84,3,2,46,9
0,2,0,0,0,6,99,1,2,119,10
0,2,1,0,0,0,99,4,2,18,11
0,1,0,0,59,6,35,3,2,46,12
0,2,1,0,0,4,99,2,2,187,13
0,2,0,0,0,7,99,4,2,14,14
0,2,0,0,0,0,99,0,0,69,15
0,2,0,0,0,3,99,1,2,55,16
0,1,1,1,48,11,27,9,2,185,17
0,1,1,2,46,12,8,5,2,100,18
0,2,1,0,0,10,99,6,2,101,19
0,1,1,1,40,8,16,7,2,220,20
0,1,1,1,50,10,99,7,2,69,21
0,1,1,2,59,8,18,5,2,131,22
0,2,0,0,0,4,99,1,2,191,23
0,1,1,2,29,7,17,5,2,111,24
0,1,0,2,59,13,17,7,2,100,25
0,1,1,2,59,9,22,6,2,87,26
0,2,1,0,0,8,99,2,2,118,27
0,2,1,0,0,5,99,5,2,220,28
0,2,1,0,0,14,99,8,2,163,29
0,1,1,0,59,14,30,6,2,30,30
0,1,1,1,35,4,27,5,2,3,31
0,2,1,0,0,8,99,6,2,101,32
0,1,1,0,45,7,13,7,2,34,33
0,1,1,1,59,4,21,6,2,194,34
0,1,1,0,59,10,23,8,2,172,35
0,2,1,0,0,1,99,4,2,2,36
0,2,0,0,0,4,99,4,2,207,37
0,2,1,0,0,3,99,5,2,43,38
0,2,1,0,0,12,99,4,2,1,39
0,1,1,2,59,4,17,5,2,213,40
0,1,1,0,59,5,16,8,2,142,41
0,2,1,0,0,9,99,6,2,94,42
0,1,1,1,26,4,9,4,2,203,43
0,1,1,1,47,10,26,9,2,207,44
0,1,1,1,24,6,37,5,2,204,45
0,2,0,0,0,99,99,4,2,73,46
0,1,1,1,31,4,21,4,2,231,47
0,1,1,0,33,4,16,4,2,223,48
0,2,1,0,0,99,99,3,2,228,49
0,2,1,0,0,11,99,2,2,195,50
0,1,1,0,59,2,45,9,2,61,51
0,1,1,1,59,8,37,7,2,41,52
0,2,1,0,0,8,99,5,2,140,53
0,1,1,1,41,6,6,3,2,213,54
0,1,1,1,36,12,16,6,2,100,55
0,2,0,0,0,8,99,4,2,205,56
0,2,0,0,0,3,99,1,2,12,57
0,0,0,0,0,0,99,0,0,71,58
0,1,1,1,59,13,21,6,2,227,59
0,0,0,0,0,0,99,0,0,226,60
0,0,0,0,0,0,99,0,0,220,61
0,0,0,0,0,0,99,0,0,231,62
0,0,0,0,0,0,99,0,0,85,63
0,2,0,0,0,2,99,1,2,44,64
0,2,1,0,0,99,99,5,2,143,65
0,2,0,0,0,6,99,2,2,60,66
0,2,0,0,0,4,99,3,2,119,67
0,2,0,0,0,3,99,1,2,55,68
0,1,1,0,49,10,18,3,2,198,69
