province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month,loyalty_history_id,country
7,21,45,1,1,82479,2,1,19469.4,2,2012,6,0.0,0.0,0,1
7,15,16,2,1,63299,2,3,5956.52,2,2015,6,0.0,0.0,1,1
4,8,7,1,1,85425,2,3,2629.43,2,2015,7,0.0,0.0,2,1
2,24,45,1,1,54304,1,2,2613.64,2,2017,8,0.0,0.0,3,1
1,15,34,1,2,0,3,3,45502.15,2,2015,9,0.0,0.0,4,1
7,16,42,1,1,61356,2,1,2619.4,2,2018,7,0.0,0.0,5,1
7,21,27,1,1,65413,3,3,3098.98,2,2012,9,0.0,0.0,6,1
7,21,20,2,2,0,1,3,11670.19,2,2014,3,0.0,0.0,7,1
2,24,51,1,1,79816,2,1,13017.73,2,2016,9,0.0,0.0,8,1
2,24,51,2,1,86895,2,3,5662.89,2,2017,1,0.0,0.0,9,1
9,13,16,1,1,55004,1,2,2686.19,2,2013,3,0.0,0.0,10,1
9,21,17,1,1,81856,2,3,8523.05,2,2016,4,0.0,0.0,11,1
7,12,33,2,2,0,3,2,2792.39,2,2016,12,2017.0,3.0,12,1
2,24,51,2,1,52996,2,2,2457.54,1,2018,2,0.0,0.0,13,1
2,26,53,2,1,86976,2,1,12760.51,2,2012,8,0.0,0.0,14,1
1,6,42,1,1,63220,2,3,3472.0,2,2013,5,0.0,0.0,15,1
2,24,46,1,2,0,3,1,15740.64,2,2016,11,0.0,0.0,16,1
2,24,52,1,1,88749,2,1,4126.86,2,2016,11,0.0,0.0,17,1
9,19,20,2,1,74811,2,3,8789.36,2,2016,11,0.0,0.0,18,1
2,24,49,2,1,96499,1,2,2802.97,2,2013,8,2017.0,10.0,19,1
9,13,16,2,1,79819,2,2,5484.8,2,2018,10,0.0,0.0,20,1
4,7,9,2,1,83592,2,3,2643.66,2,2015,9,0.0,0.0,21,1
9,13,11,2,1,102934,2,1,15544.24,2,2016,2,0.0,0.0,22,1
4,9,6,2,2,0,2,2,3098.3,2,2015,3,0.0,0.0,23,1
7,11,30,2,2,0,2,3,2245.85,2,2017,1,0.0,0.0,24,1
2,24,47,2,1,71930,2,2,6597.98,2,2014,8,0.0,0.0,25,1
7,21,28,2,1,88911,2,3,2599.12,2,2012,4,0.0,0.0,26,1
9,12,10,2,1,58047,3,1,6479.7,2,2015,11,0.0,0.0,27,1
3,29,45,1,1,57524,3,2,6513.85,2,2016,2,0.0,0.0,28,1
7,21,22,2,2,0,2,3,2605.47,2,2013,1,0.0,0.0,29,1
10,20,44,1,1,47954,3,3,1990.05,2,2015,10,2016.0,6.0,30,1
7,13,34,1,1,59437,3,2,5523.65,1,2018,2,0.0,0.0,31,1
2,24,51,2,1,32050,2,2,2690.45,2,2015,7,2018.0,10.0,32,1
7,21,24,2,2,0,3,3,6800.02,2,2013,2,0.0,0.0,33,1
11,29,53,1,1,59341,2,3,1920.54,2,2012,4,0.0,0.0,34,1
7,10,31,2,1,67224,3,1,4528.05,2,2015,9,0.0,0.0,35,1
7,21,33,2,4,73681,2,2,5660.46,2,2018,6,0.0,0.0,36,1
7,21,34,2,1,61338,2,3,6875.2,2,2013,2,0.0,0.0,37,1
6,10,6,1,1,64880,2,2,15102.66,2,2012,11,0.0,0.0,38,1
2,24,51,2,1,0,1,3,11673.02,2,2015,5,2017.0,1.0,39,1
7,21,33,1,1,71223,3,3,12061.23,2,2016,9,0.0,0.0,40,1
2,27,53,1,1,77123,2,1,7813.75,2,2015,8,0.0,0.0,41,1
7,21,30,2,1,66644,3,2,2490.59,2,2012,9,0.0,0.0,42,1
7,19,22,2,2,0,3,3,2273.73,2,2014,8,0.0,0.0,43,1
2,23,44,1,3,99891,2,3,7072.45,2,2017,11,0.0,0.0,44,1
3,29,36,1,1,94748,2,1,9632.57,2,2016,5,2017.0,1.0,45,1
4,6,7,2,1,68445,2,2,3363.79,2,2013,6,0.0,0.0,46,1
7,21,29,2,1,96578,2,3,2530.02,2,2013,9,0.0,0.0,47,1
2,24,51,2,1,70889,2,2,2151.9,2,2016,1,0.0,0.0,48,1
9,13,15,1,1,62845,2,2,5323.28,2,2016,6,0.0,0.0,49,1
4,7,6,1,1,93412,2,3,2863.42,2,2017,10,0.0,0.0,50,1
3,29,32,1,2,0,3,2,8388.51,2,2012,2,0.0,0.0,51,1
7,21,30,1,2,0,3,1,2188.38,2,2014,12,0.0,0.0,52,1
2,24,51,2,1,62515,2,2,5147.99,2,2015,7,0.0,0.0,53,1
7,21,34,2,1,100900,3,1,2385.37,2,2013,11,0.0,0.0,54,1
10,21,39,2,4,68440,2,3,2788.94,1,2018,2,0.0,0.0,55,1
2,25,53,2,1,73386,2,3,9809.38,2,2012,4,0.0,0.0,56,1
7,14,19,1,1,55621,2,2,8431.63,2,2016,12,0.0,0.0,57,1
7,21,29,2,2,0,2,3,2360.21,2,2012,11,0.0,0.0,58,1
9,13,9,1,4,61152,1,1,5168.12,1,2018,2,0.0,0.0,59,1
7,21,49,1,4,64649,2,2,5313.19,2,2017,7,2017.0,3.0,60,1
5,20,1,1,1,53809,2,3,12433.58,2,2012,10,0.0,0.0,61,1
7,21,20,2,1,66744,2,3,4526.39,2,2012,8,0.0,0.0,62,1
7,21,30,1,3,82837,3,3,2149.86,2,2013,3,0.0,0.0,63,1
7,21,32,1,1,54910,1,3,2575.88,2,2015,10,0.0,0.0,64,1
5,15,1,1,1,70181,3,1,13530.77,2,2013,4,0.0,0.0,65,1
2,4,43,1,2,0,3,3,2705.27,2,2013,8,0.0,0.0,66,1
9,8,16,2,3,155767,2,2,4275.25,2,2015,8,0.0,0.0,67,1
6,8,2,1,1,58113,2,2,8645.36,2,2012,11,0.0,0.0,68,1
4,8,6,1,2,0,3,2,4715.77,2,2017,7,0.0,0.0,69,1
7,14,19,2,1,62754,2,3,5477.2,2,2012,5,0.0,0.0,70,1
7,21,21,1,1,58852,2,3,7461.4,2,2013,11,0.0,0.0,71,1
2,24,51,1,3,77668,1,3,6779.08,2,2014,3,0.0,0.0,72,1
2,29,45,2,1,55804,1,2,14131.27,2,2017,8,0.0,0.0,73,1
7,21,29,1,2,0,3,3,14368.68,2,2015,2,0.0,0.0,74,1
4,14,7,2,1,87219,1,3,3042.58,2,2015,10,0.0,0.0,75,1
7,24,51,1,2,0,2,3,2556.06,2,2013,12,0.0,0.0,76,1
9,14,10,2,3,101066,3,3,2394.28,2,2013,7,0.0,0.0,77,1
9,21,19,2,1,61156,2,1,7398.92,2,2017,11,0.0,0.0,78,1
7,21,30,2,5,103143,1,3,2575.6,2,2015,7,0.0,0.0,79,1
7,13,16,1,1,75500,2,3,8578.23,2,2014,12,0.0,0.0,80,1
7,21,25,1,1,56819,2,3,6310.29,2,2014,6,0.0,0.0,81,1
6,8,4,1,1,70442,2,2,5273.3,2,2017,9,0.0,0.0,82,1
5,16,1,2,1,67517,1,1,9485.48,2,2016,11,0.0,0.0,83,1
9,22,15,2,4,86774,2,2,11384.63,2,2013,8,0.0,0.0,84,1
2,24,51,2,3,116169,2,3,2790.76,2,2015,10,0.0,0.0,85,1
7,21,21,2,1,80983,2,1,5361.81,2,2016,6,0.0,0.0,86,1
1,1,43,2,2,0,3,3,5536.44,2,2014,4,0.0,0.0,87,1
7,21,20,2,1,82574,2,1,2584.15,2,2016,6,0.0,0.0,88,1
4,6,37,1,1,67397,1,2,2528.75,2,2012,10,0.0,0.0,89,1
7,24,29,2,2,0,3,2,2938.9,2,2015,7,0.0,0.0,90,1
2,24,51,2,1,93063,2,2,15538.62,2,2012,7,0.0,0.0,91,1
7,17,17,1,1,67887,2,1,8458.66,2,2017,10,0.0,0.0,92,1
2,24,47,2,1,88877,2,2,5592.52,2,2014,8,2016.0,11.0,93,1
7,13,29,1,4,68206,2,1,21436.04,2,2016,1,0.0,0.0,94,1
4,8,6,2,1,89861,2,2,4908.05,2,2013,11,0.0,0.0,95,1
6,12,5,1,2,0,2,3,3852.59,2,2016,8,0.0,0.0,96,1
