activity_id,year,month,total_flights,distance,points_accumulated,points_redeemed,dollar_cost_points_redeemed,loyalty_history_id
0,2018.0,2.0,1.0,1355.117708225366,1357.516357015757,376.0915366742669,67.36123848766171,0
1,2017.0,9.0,0.0,0.0,0.0,0.0,0.0,0
2,2017.0,2.0,0.0,0.0,0.0,0.0,0.0,0
3,2017.0,8.0,4.0,5900.837326829529,5898.704109886473,0.0,0.0,0
4,2017.0,7.0,3.0,6683.156660620754,6676.181305775022,0.0,0.0,0
5,2017.0,11.0,0.0,0.0,0.0,0.0,0.0,0
6,2018.0,7.0,4.0,7865.909175959098,7867.004716559486,0.0,0.0,0
7,2017.0,10.0,0.0,0.0,0.0,0.0,0.0,0
8,2017.0,3.0,0.0,0.0,0.0,0.0,0.0,0
9,2018.0,6.0,3.0,4749.875491263176,4754.779855544831,0.0,0.0,0
10,2018.0,2.0,3.0,1750.1849367061602,1752.7035567189396,0.0,0.0,0
11,2018.0,5.0,0.0,0.0,0.0,0.0,0.0,0
12,2017.0,8.0,0.0,0.0,0.0,0.0,0.0,0
13,2017.0,6.0,2.0,2573.79053423684,2574.8460137324305,0.0,0.0,0
14,2018.0,4.0,0.0,0.0,0.0,0.0,0.0,0
15,2018.0,9.0,6.0,9762.926280782809,14568.136463864737,0.0,0.0,0
16,2018.0,3.0,0.0,0.0,0.0,0.0,0.0,0
17,2018.0,8.0,0.0,0.0,0.0,0.0,0.0,0
18,2017.0,2.0,0.0,0.0,0.0,0.0,0.0,0
19,2018.0,6.0,5.0,8815.568164991213,8825.73666901123,0.0,0.0,0
20,2017.0,12.0,0.0,0.0,0.0,0.0,0.0,0
21,2018.0,5.0,1.0,712.1983851346862,710.8495239513775,0.0,0.0,0
22,2018.0,5.0,0.0,0.0,0.0,0.0,0.0,0
23,2017.0,12.0,0.0,0.0,0.0,0.0,0.0,0
24,2017.0,10.0,0.0,0.0,0.0,0.0,0.0,1
25,2018.0,11.0,0.0,0.0,0.0,0.0,0.0,1
